Pele’s Playground Dive Site,Papua Barat Daya,Raja Ampat,"Pele’s Playground Dive Site, Raja Ampat","-2.1431824,130.1701191"
Toblerone Dive Site,Papua Barat Daya,Raja Ampat,"Toblerone Dive Site, Raja Ampat","-2.1606426,130.2906962"
Four Kings Dive Site,Papua Barat Daya,Raja Ampat,"Four Kings Dive Site, Raja Ampat","-2.207931,130.3773005"
Melissa's Garden,Papua Barat Daya,Raja Ampat,"Melissa's Garden, Raja Ampat","-0.5900067,130.3152625"
My Reef Dive Site,Papua Barat Daya,Raja Ampat,"My Reef Dive Site, Raja Ampat","-0.6009927,130.2969536"
Batu Rufas Dive Site,Papua Barat Daya,Raja Ampat,"Batu Rufas Dive Site, Raja Ampat","-0.5659022,130.2844014"
Citrus Ridge Dive Site,Papua Barat Daya,Raja Ampat,"Citrus Ridge Dive Site, Raja Ampat","-0.5101957,130.4551335"
Yilliet Corner Dive Site,Papua Barat Daya,Raja Ampat,"Yilliet Corner Dive Site, Raja Ampat","-2.1937393,130.6051562"
Love Potion #9 Dive Site,Papua Barat Daya,Raja Ampat,"Love Potion #9 Dive Site, Raja Ampat","-2.0223539,130.6946862"
Manta Ridge Dive Site,Papua Barat Daya,Raja Ampat,"Manta Ridge Dive Site, Raja Ampat","-0.5602828,130.5579936"
Yan Gefo Homestay Dive Site,Papua Barat Daya,Raja Ampat,"Yan Gefo Homestay Dive Site, Raja Ampat","-0.5102057,130.4514146"
Yanbuba Corner,Papua Barat Daya,Raja Ampat,"Yanbuba Corner, Raja Ampat","-0.5715119,130.6581113"
Gella Stone Grave,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Toraja Utara,"Gella Stone Grave, Toraja Utara","-3.0118611,119.8741171"
Cape Kri,Papua Barat Daya,Raja Ampat,"Cape Kri, Raja Ampat","-0.5569089,130.6900627"
Blue Magic Dive Site,Papua Barat Daya,Raja Ampat,"Blue Magic Dive Site, Raja Ampat","-0.5074179,130.7368162"
Tapokren Dive Site,Papua Barat Daya,Raja Ampat,"Tapokren Dive Site, Raja Ampat","-0.4389027,130.7261746"
P-47 Dive Site,Papua Barat Daya,Raja Ampat,"P-47 Dive Site, Raja Ampat","-0.7025701,130.7088328"
Manta Wai Dive Site,Papua Barat Daya,Raja Ampat,"Manta Wai Dive Site, Raja Ampat","-0.6873737,130.7427006"
Sumur Bandung,Jawa Barat,Kota Bandung,"Sumur Bandung, Kota Bandung","-6.9207697,107.6085001"
Manado adventure park,Sulawesi Utara,Minahasa Utara,Jalan Drs. S. H. Sarundajang (Ring Road 1),"1.4785974,124.8912408"
Entrance to waterfall Kali,Sulawesi Utara,Sulawesi,"Entrance to waterfall Kali, Sulawesi","1.3955814,124.84198"
Snorkelling spot,Sulawesi Utara,Sulawesi,"Snorkelling spot, Sulawesi","1.6055697,124.7810581"
Hidden Canyon Beji Guwang,Bali,Gianyar,"Hidden Canyon Beji Guwang, Gianyar","-8.6095423,115.2892525"
Mangrove Track,Kepulauan Bangka Belitung,Belitung,"Mangrove Track, Belitung","-2.763439,107.6099528"
Sunset Boulevard,Kepulauan Bangka Belitung,Simpang Pesak,"Sunset Boulevard, Simpang Pesak","-2.7611503,107.6098238"
Ruteng Pu'u traditional village,Nusa Tenggara Timur,Manggarai,"Ruteng Pu'u traditional village, Manggarai","-8.6121633,120.4460047"
Pasir Putih,Papua Pegunungan,Jayawijaya,"Pasir Putih, Jayawijaya","-4.0372225,138.9513959"
Ferry - Desa Tobil,Sulawesi Tengah,Tojo Una-Una,"Ferry - Desa Tobil, Tojo Una-Una","-0.3679999,121.8691928"
Ferry - Bumbulan,Gorontalo,Pohuwato,"Ferry - Bumbulan, Pohuwato","0.4873002,122.1134"
Great Snorkelling,Maluku,Maluku,"Great Snorkelling, Maluku","-4.5789969,130.0360218"
Banua old houses,Sulawesi Tengah,Poso,"Banua old houses, Poso","-1.767735,120.6329333"
Terminal Ferry Boat - Bumbulan (To Dolong),Gorontalo,Pohuwato,"Terminal Ferry Boat - Bumbulan (To Dolong), Pohuwato","0.4865064,122.1106874"
Terminal Ferry - Dolong B,Sulawesi Tengah,Tojo Una-Una,"Terminal Ferry - Dolong B, Tojo Una-Una","-0.2623582,122.2153165"
Funeral ceremony place,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Toraja Utara,"Funeral ceremony place, Toraja Utara","-3.0109884,119.9174411"
Tongkonan Buntu Tangnga,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Sulawesi,"Tongkonan Buntu Tangnga, Sulawesi","-3.2425551,119.7999219"
KC PANAKUKANG,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Makassar,"KC PANAKUKANG, Makassar","-5.1604218,119.4596212"
KL TELLO BARU,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Makassar,"KL TELLO BARU, Makassar","-5.1463792,119.4698789"
Bunker Jepang,Aceh اچيه,Sabang,"Bunker Jepang, Sabang","5.8474971,95.3737426"
Shoes and bags shopping street,Jawa Barat,Kota Bandung,"Shoes and bags shopping street, Kota Bandung","-6.9492258,107.5940721"
Glass Blowing,Bali,Gianyar,"Glass Blowing, Gianyar","-8.4150653,115.2891931"
Tourist information,Jawa Barat,Garut,"Tourist information, Garut","-7.3082735,107.7383623"
Talagabodas Lake,Jawa Barat,Sukamenak,"Talagabodas Lake, Sukamenak","-7.2102555,108.0657658"
Path to the lake,Jawa Barat,Garut,"Path to the lake, Garut","-7.3147559,107.7299283"
Surf brakes,Aceh اچيه,Sumatera,"Surf brakes, Sumatera","5.4777669,95.2326745"
Ticket office,Jawa Barat,Pangandaran,"Ticket office, Pangandaran","-7.6452147,108.5382392"
Chocolate Factory big tree bamboo,Bali,Badung,"Chocolate Factory big tree bamboo, Badung","-8.5719825,115.2170777"
Swimmingpool,Jawa Barat,Pangandaran,"Swimmingpool, Pangandaran","-7.6445667,108.5350001"
Rumah Pohon Suku Momuna,Papua Pegunungan,Yahukimo,"Rumah Pohon Suku Momuna, Yahukimo","-4.8380786,139.5512341"
Wahana Bola Air,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Deli Serdang,"Wahana Bola Air, Deli Serdang","3.7142596,98.7271994"
Wahana Rakit Romance,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Deli Serdang,"Wahana Rakit Romance, Deli Serdang","3.7140367,98.727076"
Stasiun Kereta Api,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Deli Serdang,"Stasiun Kereta Api, Deli Serdang","3.7124274,98.7292573"
Tourist information,Jawa Timur,Kabupaten Kediri,"Tourist information, Kabupaten Kediri","-7.8160894,112.0621944"
Cystal Rock Dive Site,Nusa Tenggara Timur,Kabupaten Manggarai Barat,"Cystal Rock Dive Site, Kabupaten Manggarai Barat","-8.4416648,119.5677822"
Tree Top Adventure Park,Jawa Barat,Bandung Barat,"Tree Top Adventure Park, Bandung Barat","-6.7821577,107.6499872"
Boats construction,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Sulawesi,"Boats construction, Sulawesi","-5.5932291,120.4613747"
Tarantula Tree,Sulawesi Utara,Bitung,"Tarantula Tree, Bitung","1.5636478,125.1723599"
Tarsier Tree,Sulawesi Utara,Bitung,"Tarsier Tree, Bitung","1.5611184,125.1720353"
Mandolin,Sulawesi Utara,Sulawesi,"Mandolin, Sulawesi","1.6142768,124.7329379"
Maribaja Natural Hot Spring Resort,Jawa Barat,Bandung Barat,"Maribaja Natural Hot Spring Resort, Bandung Barat","-6.8305355,107.6548873"
Lokon Trail Startig Point,Sulawesi Utara,Tomohon,"Lokon Trail Startig Point, Tomohon","1.3582227,124.8154795"
Japanese Caves,Sulawesi Utara,Sulawesi,"Japanese Caves, Sulawesi","1.2139696,124.7889549"
Hot Springs,Sulawesi Utara,Tomohon,"Hot Springs, Tomohon","1.2836715,124.8221444"
Boat construction,,Sulawesi,"Boat construction, Sulawesi","-5.5931247,120.4617704"
Snorkeling,,Sulawesi,"Snorkeling, Sulawesi","-5.6752283,120.4750071"
Perkebunan Teh Tanjungsari,Jawa Tengah,Wonosobo ꦮꦤꦱꦧ,"Perkebunan Teh Tanjungsari, Wonosobo ꦮꦤꦱꦧ","-7.4477278,109.9770922"
Snorkeling,Sulawesi Tengah,Sulawesi,"Snorkeling, Sulawesi","-0.2345332,122.0332195"
Snorkeling,Sulawesi Tengah,Sulawesi,"Snorkeling, Sulawesi","-0.2140885,122.0672324"
Buntu pune,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Toraja Utara,"Buntu pune, Toraja Utara","-2.9874765,119.8967483"
Pana stone and baby graves,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Toraja Utara,"Pana stone and baby graves, Toraja Utara","-2.9208367,119.8702533"
Batu Piak Historic Stone,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Toraja Utara,"Batu Piak Historic Stone, Toraja Utara","-2.9110028,119.8703974"
Alam Paragliding Flying Site,Bali,Badung,"Alam Paragliding Flying Site, Badung","-8.8365623,115.2053272"
Klungkung Palace,Bali,Klungkung,"Klungkung Palace, Klungkung","-8.5356484,115.4029536"
Pedemal Agung,Bali,Klungkung,"Pedemal Agung, Klungkung","-8.5358422,115.4029231"
Kertha Gosa,Bali,Klungkung,"Kertha Gosa, Klungkung","-8.5354185,115.4035849"
Telaga Bintang,Papua Barat Daya,Raja Ampat,"Telaga Bintang, Raja Ampat","-0.5688679,130.2707278"
Peguyangan,Bali,Klungkung,"Peguyangan, Klungkung","-8.7814362,115.5183751"
Keraton Sambaliung,Kalimantan Timur,Berau,"Keraton Sambaliung, Berau","2.1646847,117.4995129"
Bomero City Walk,Jawa Barat,Cianjur,"Bomero City Walk, Cianjur","-6.821327,107.1419171"
Indoor Playground,Jawa Timur,Kota Malang,"Indoor Playground, Kota Malang","-7.9821752,112.6322277"
Feeding Station 1: Tanjung Harapan,Kalimantan Tengah,Kotawaringin Barat,"Feeding Station 1: Tanjung Harapan, Kotawaringin Barat","-2.8240409,111.80391"
Feeding Station: Pondok Tanggui,Kalimantan Tengah,Kotawaringin Barat,"Feeding Station: Pondok Tanggui, Kotawaringin Barat","-2.7926055,111.87054"
Dago Car Free Day,Jawa Barat,Kota Bandung,"Dago Car Free Day, Kota Bandung","-6.8982172,107.6127886"
Kawasan Kuliner Pasar Lama,,Tangerang,"Kawasan Kuliner Pasar Lama, Tangerang","-6.1779396,106.6300758"
Fairground,Sulawesi Tengah,Poso,"Fairground, Poso","-2.0684303,120.6922205"
Archeological Site,Papua Barat Daya,Raja Ampat,"Archeological Site, Raja Ampat","-0.4381446,130.4536501"
Pearl Farm,Papua Barat Daya,Raja Ampat,"Pearl Farm, Raja Ampat","-0.4390574,130.4572521"
Archaeological Site,Papua Barat Daya,Raja Ampat,"Archaeological Site, Raja Ampat","-0.4424993,130.4535016"
Sumampan Waterfall,Bali,Gianyar,"Sumampan Waterfall, Gianyar","-8.5517659,115.2921243"
Terumbu Karang,Kalimantan Selatan,Kalimantan,"Terumbu Karang, Kalimantan","-3.7949859,115.6091796"
Terumbu Karang,Kalimantan Selatan,Kalimantan,"Terumbu Karang, Kalimantan","-3.7860882,115.5659345"
Watu Giring,Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀,"Watu Giring, Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀","-7.9964664,110.6283977"
Kalisuci Cave Tubing,Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀,"Kalisuci Cave Tubing, Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀","-8.0098052,110.6389995"
Pakuwaja,Jawa Tengah,Wonosobo ꦮꦤꦱꦧ,"Pakuwaja, Wonosobo ꦮꦤꦱꦧ","-7.2302938,109.9210077"
Rumah Miring,Jawa Barat,Bandung Barat,"Rumah Miring, Bandung Barat","-6.8437773,107.6321737"
Asia Farm,Riau رياو,Pekanbaru,"Asia Farm, Pekanbaru","0.5081421,101.5101906"
Puncak Penanggak,Nusa Tenggara Barat,,"Puncak Penanggak, ","-8.5428236,116.4034907"
