nama,provinsi,kabupaten/kota,alamat,titik_koordinat,kategori,latitude,longitude
Museum Pusaka Nias,Sumatera Utara,Gunungsitoli,Museum Pusaka Nias Gunungsitoli,"1.2982269,97.6087097",Museum,1.2982269,97.6087097
Museum Pusat TNI AD Dharma Wiratama,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Jalan Cik Ditiro,"-7.782439,110.3754535",Museum,-7.782439,110.3754535
Museum Pustaka Lontar,Bali,Karangasem,Museum Pustaka Lontar Karangasem,"-8.4212728,115.6120183",Museum,-8.4212728,115.6120183
Museum Pustaka Peranakan Tionghoa,Banten,Tangerang Selatan,Museum Pustaka Peranakan Tionghoa Tangerang Selatan,"-6.2888465,106.6639236",Museum,-6.2888465,106.6639236
Museum RS Mata Dr Yap Prawirohusodo,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Jalan Cik Di Tiro,"-7.7806873,110.3749667",Museum,-7.7806873,110.3749667
Museum Samparaja,Nusa Tenggara Barat,Bima,Museum Samparaja Bima,"-8.4551518,118.7388731",Museum,-8.4551518,118.7388731
Museum Sang Timur Jawa Timur,Jawa Timur,Kota Malang,Museum Sang Timur Jawa Timur Kota Malang,"-7.9779457,112.5966167",Museum,-7.9779457,112.5966167
Museum Saoraja,Sulawesi Selatan,Sulawesi,Manurunge Tanete Riattang Kabupaten Bone Sulawesi Selatan,"-4.5376955,120.3289295",Museum,-4.5376955,120.3289295
Museum Sasmita Loka Ahmad Yani,DKI Jakarta,Daerah Khusus ibukota Jakarta,Museum Sasmita Loka Ahmad Yani Daerah Khusus ibukota Jakarta,"-6.2045356,106.8365455",Museum,-6.2045356,106.8365455
Museum Satria Mandala,DKI Jakarta,Daerah Khusus ibukota Jakarta,Jalan Gatot Subroto,"-6.2314101,106.8186467",Museum,-6.2314101,106.8186467
Museum Sejarah Jakarta,DKI Jakarta,Daerah Khusus ibukota Jakarta,Jalan Taman Fatahillah,"-6.1351548,106.813289",Museum,-6.1351548,106.813289
Museum Sidik Jari,Bali,Denpasar,Jalan Hayam Wuruk,"-8.6632327,115.2406592",Museum,-8.6632327,115.2406592
Museum Sidik Martowidjojo,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Jl Magangan Kulon No Patehan Kecamatan Kraton Kota Yogyakarta Daerah Istimewa Yogyakarta,"-7.8084912,110.3629211",Museum,-7.8084912,110.3629211
Museum Siliwangi,Jawa Barat,Kota Bandung,Jalan Lembong,"-6.9171828,107.6110914",Museum,-6.9171828,107.6110914
Museum Sitaro,Sulawesi Utara,Kepulauan Siau Tagulandang Biaro,Museum Sitaro Kepulauan Siau Tagulandang Biaro,"2.731431,125.4073036",Museum,2.731431,125.4073036
Museum Situs Ciungwanara,Jawa Barat,Ciamis,Museum Situs Ciungwanara Ciamis,"-7.348568,108.4897512",Museum,-7.348568,108.4897512
Museum Situs Purbakala,Bali,Jembrana,Museum Situs Purbakala Jembrana,"-8.1673086,114.4406786",Museum,-8.1673086,114.4406786
Museum Sonobudoyo Unit I,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Jl Pangurakan No Ngupasan Kec Gondomanan Kota Yogyakarta Daerah Istimewa Yogyakarta,"-7.8023591,110.3644129",Museum,-7.8023591,110.3644129
Museum Subak,Bali,Tabanan,Museum Subak Tabanan,"-8.5444662,115.1384002",Museum,-8.5444662,115.1384002
Museum Sultan Mahmud Badaruddin II,Sumatera Selatan,Palembang,Museum Sultan Mahmud Badaruddin II Palembang,"-2.9902795,104.7610612",Museum,-2.9902795,104.7610612
Museum Sumpah Pemuda,DKI Jakarta,Daerah Khusus ibukota Jakarta,Museum Sumpah Pemuda Daerah Khusus ibukota Jakarta,"-6.1838377,106.8430278",Museum,-6.1838377,106.8430278
Museum Tanah dan Pertanian,Jawa Barat,Bogor,Museum Tanah dan Pertanian Bogor,"-6.6038674,106.7980376",Museum,-6.6038674,106.7980376
Museum Tekstil,DKI Jakarta,Daerah Khusus ibukota Jakarta,Jalan Ks Tubun No,"-6.1879683,106.8096115",Museum,-6.1879683,106.8096115
Museum Trikora,Maluku Utara,Pulau Morotai,Museum Trikora Pulau Morotai,"2.0343944,128.2956849",Museum,2.0343944,128.2956849
Museum Trinil Ngawi,Jawa Timur,Ngawi,Museum Trinil Ngawi Ngawi,"-7.3743213,111.357806",Museum,-7.3743213,111.357806
Museum UGM,Daerah Istimewa Yogyakarta,Sleman,Museum UGM Sleman,"-7.7738342,110.3779852",Museum,-7.7738342,110.3779852
Museum UII,Daerah Istimewa Yogyakarta,Sleman,Boulevard UII,"-7.6882076,110.4147306",Museum,-7.6882076,110.4147306
Museum UIN ARRANIRY Banda Aceh,Aceh,Banda Aceh,jl Shiekh Abdul Rauf KOPELMA DARUSSALAM,"5.5762634,95.3684534",Museum,5.5762634,95.3684534
Museum Wayang Sendang Mas,Jawa Tengah,Purwokerto,Museum Wayang Sendang Mas Purwokerto,"-7.5107238,109.2930759",Museum,-7.5107238,109.2930759
Museum Zoologi,Jawa Barat,Bogor,Jl Ir H Juanda,"-6.603559,106.7969138",Museum,-6.603559,106.7969138
Pantai Ancol Pangururan,Sumatera Utara,Samosir,Pantai Ancol Pangururan Samosir,"2.6064128,98.6953646",Pantai,2.6064128,98.6953646
Pantai Balekambang Malang,Jawa Timur,Kabupaten Malang,Pantai Balekambang Malang Kabupaten Malang,"-8.4030438,112.5364708",Pantai,-8.4030438,112.5364708
Pantai Batu Hoda,Sumatera Utara,Samosir,Pantai Batu Hoda Samosir,"2.7601108,98.724716",Pantai,2.7601108,98.724716
Pantai Batu Lumbang,Bali,Tabanan,Pantai Batu Lumbang Tabanan,"-8.5242016,114.9905845",Pantai,-8.5242016,114.9905845
Pantai Bukit Harimau,Kepulauan Riau,Batam,Pantai Bukit Harimau Batam,"1.139874,103.949096",Pantai,1.139874,103.949096
Pantai Camplong,Jawa Timur,Sampang,Pantai Camplong Sampang,"-7.2171024,113.3187691",Pantai,-7.2171024,113.3187691
Pantai Carita Perhutani Banten,Banten,Pandeglang,Pantai Carita Perhutani Banten Pandeglang,"-6.2947106,105.8372178",Pantai,-6.2947106,105.8372178
Pantai Cibendo,Jawa Barat,Karawang,Pantai Cibendo Karawang,"-6.1589764,107.4959574",Pantai,-6.1589764,107.4959574
Pantai Cibendo II,Jawa Barat,Karawang,Pantai Cibendo II Karawang,"-6.1617233,107.5042661",Pantai,-6.1617233,107.5042661
Pantai Gading,Kepulauan Riau,Batam,Pantai Gading Batam,"1.163314,104.0374714",Pantai,1.163314,104.0374714
Pantai Halassy,Maluku,Maluku Tengah,Pantai Halassy Maluku Tengah,"-3.5140867,128.2301844",Pantai,-3.5140867,128.2301844
Pantai Jakat,Bengkulu,Bengkulu,Pantai Jakat Bengkulu,"-3.7818528,102.2606734",Pantai,-3.7818528,102.2606734
Pantai Kambera,Nusa Tenggara Timur,Sumba Timur,Pantai Kambera Sumba Timur,"-9.4855404,120.1288891",Pantai,-9.4855404,120.1288891
Pantai Kawangu,Nusa Tenggara Timur,Sumba Timur,Pantai Kawangu Sumba Timur,"-9.6650509,120.3324258",Pantai,-9.6650509,120.3324258
Pantai Kedungu,Bali,desa belalang,Pantai Kedungu desa belalang,"-8.6089485,115.0833909",Pantai,-8.6089485,115.0833909
Pantai Klayar,Jawa Timur,Pacitan,Pantai Klayar Pacitan,"-8.2235831,110.9472838",Pantai,-8.2235831,110.9472838
Pantai Kutu,Sulawesi Utara,Kepulauan Sangihe,Pantai Kutu Kepulauan Sangihe,"3.4807924,125.6700556",Pantai,3.4807924,125.6700556
Pantai Larodak,Nusa Tenggara Timur,Sumba Timur,Pantai Larodak Sumba Timur,"-9.3803484,120.0045633",Pantai,-9.3803484,120.0045633
Pantai Lasiana,Nusa Tenggara Timur,Kupang,Pantai Lasiana Kupang,"-10.131952,123.6691231",Pantai,-10.131952,123.6691231
Pantai Liang,Maluku,Maluku Tengah,Pantai Liang Maluku Tengah,"-3.5065803,128.3443595",Pantai,-3.5065803,128.3443595
Pantai Lombang,Jawa Timur,Sumenep,Pantai Lombang Sumenep,"-6.9186059,114.0650772",Pantai,-6.9186059,114.0650772
Pantai Londalima,Nusa Tenggara Timur,Kecamatan Kanatang,Pantai Londalima Kecamatan Kanatang,"-9.5924985,120.2293646",Pantai,-9.5924985,120.2293646
